NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Oporto Bar;2.5;2 comentários;Rua dos Potiguaras, 192 - Praia de Iracema, Fortaleza - CE, 60060-500;Restaurante;;bar
Avenida Bar;;;Av. Duque de Caxias, 455 - Centro, Fortaleza - CE, 60035-111;;;bar
Arpão Praia Bar;4.3;2.253 comentários;Caça e Pesca - Av. Clóvis Arrais Maia, 6417 - Cais do Porto, Fortaleza - CE, 60180-000;$$;1,5-3 horas;bar
Bar Gaiola RockBar;4.4;53 comentários;Benfica, Fortaleza - CE, 60020-060;$;;bar
Cazo Bar;3.0;Um comentário;R. Barão de Aratanha, 210 - Centro, Fortaleza - CE, 60050-070;Bar;;bar
Bodega do Deda;4.6;36 comentários;Rua Casimiro Montenegro, 640 - Monte Castelo, Fortaleza - CE, 60325-720;Bar;;bar
bar;;;Rua Dona Leopoldina - Centro, Fortaleza - CE, 60110-000;;;bar
Austin Pub;4.2;387 comentários;Av. Senador Virgílio Távora, 1727 - Meireles, Fortaleza - CE, 60170-250;$$$;2-5 horas;bar
REMEMBER;3.6;13 comentários;R. dos Tabajaras, 368 - Praia de Iracema, Fortaleza - CE, 60060-510;Casa noturna;;bar
Bar do Papion;;;R. Jacinto Matos, 850 - Jacarecanga, Fortaleza - CE, 60310-210;;;bar
Complexo Crocobeach;4.6;32.429 comentários;Av. Clóvis Arrais Maia, 3125 - Praia Do Futuro, Fortaleza - CE, 60182-324;$$;;bar
Bar e Restaurante Dois Irmãos;4.5;62 comentários;R. Pero Coelho, 136 - Centro, Fortaleza - CE, 60055-170;Restaurante;30 min;bar
Val Drink's;;;R. Dragão do Mar, 100 - Centro, Fortaleza - CE, 60060-195;;;bar
Carneiro Prime Sul;4.3;539 comentários;Av. Edilson Brasil Soares, 212 - Parque Manibura, Fortaleza - CE, 60821-775;$$;;bar
Chez Marc Et Silvania Bar;3.5;2 comentários;R. Dragão do Mar, 322 - Centro, Fortaleza - CE, 60060-390;Restaurante;;bar
Na Praia Sports Bar;4.8;5 comentários;R. da Assunção, 1255 - José Bonifacio, Fortaleza - CE, 60050-011;Churrascaria;;bar
Dybowski Bar;4.8;52 comentários;Rua Cardoso de Barros, 58 - Vila Peri, Fortaleza - CE, 60730-150;$;;bar
Espetinho Do Gordinho;4.5;44 comentários;Av. Pontes Vieira, 247 - São João do Tauape, Fortaleza - CE, 60130-240;Bar;;bar
Quiosque Sao Francisco 27;;;Av. Beira Mar - Praia de Iracema, Fortaleza - CE, 60165-121;;;bar
Bar do Pedro;4.6;17 comentários;R. Mônaco, 300 - Parangaba, Fortaleza - CE, 60710-590;Bar;;bar
Bar Do Fortaleza;;;R. Vitória da Conquista, 1664 - Manuel Dias Branco, Fortaleza - CE, 60191-670;;;bar
Best Bar Fortaleza;4.6;16 comentários;Av. Contôrno Sul, 251-255 - Jangurussu, Fortaleza - CE, 60875-205;Bar;;bar
Boteco do Carro Bar;4.0;3 comentários;Av. Lineu Machado, 1212 - Jóquei Clube, Fortaleza - CE, 60520-102;Bar;;bar
Bar beach;;;R. José pereira filho - Praia do Futuro II, Fortaleza - CE;;;bar
Bar e Restaurante Elizângela;5.0;2 comentários;R. Meton de Alencar, 444 - Centro, Fortaleza - CE, 60035-160;Bar;;bar
Sérvia Bar;;;R. João Cordeiro, 2022-2100 - Aldeota, Fortaleza - CE, 60110-301;;;bar
Koya Sushi Bar;4.3;563 comentários;Av. Antônio Sales, 2435 - Dionísio Torres, Fortaleza - CE, 60135-102;$$$;30 min;bar
Kina do Feijão Verde - Aldeota;4.6;6.913 comentários;Rua João Cordeiro, R. Pero Coelho, 1697 - Aldeota, Fortaleza - CE, 60110-301;$$;45 min a 2 h;bar
The Lights;4.4;1.055 comentários;Av. da Universidade, 2322 - Benfica, Fortaleza - CE, 60020;$;1,5-3,5 horas;bar
Eurides Bar;;;R. Manuel Dias Branco - Cais do Porto, Fortaleza - CE, 60180-635;;;bar
Bar Do Doca;5.0;4 comentários;R. Floro Bartolomeu, 1027 - São João do Tauape, Fortaleza - CE, 60130-530;Bar;;bar
Albergaria Hostel;4.3;787 resenhas no Google;R. Antônio Augusto, 111 - Meireles, Fortaleza - CE, 60110-370;hotel de 2 estrelas;;bar
Renata Bar;;;R. Pedro Pereira, 945 - Centro, Fortaleza - CE, 60035-000;;;bar
Bar do Assis Júnior;5.0;3 comentários;R. Major Facundo, 1213 - Centro, Fortaleza - CE, 60025-101;Bar;;bar
bar;4.0;6 comentários;Av. Zezé Diogo, 62 - Cais do Porto, Fortaleza - CE, 60180-000;Bar;;bar
Roberio's Bar Fortaleza;5.0;Um comentário;R. José Franca Cabral, 280 - Mata Galinha, Fortaleza - CE, 60867-580;Bar;;bar
Bar São Francisco;4.0;2 comentários;Rua 24 de Maio, 1129 - Centro, Fortaleza - CE, 60020-001;Bar;;bar
Frappero Drinks;5.0;3 comentários;R. Ildefonso Albano, 195 - Meireles, Fortaleza - CE, 60115-000;Bar;;bar
Bar da Angélica;;;Rua Governador Sampaio, 56 - Loja 3 - Centro, Fortaleza - CE, 60055-050;;;bar
Good Hostel & Pousada;4.4;138 resenhas no Google;R. João Cordeiro, 540 ALTOS - Praia de Iracema, Fortaleza - CE, 60110-300;;;bar
Bar;4.1;7 comentários;R. Carlos Severo, 90 - Farias Brito, Fortaleza - CE, 60011-100;Bar;;bar
Bar E Restaurante;2.5;2 comentários;Rua Solon Pinheiro, 453 - Centro, Fortaleza - CE, 60050-040;Bar;;bar
Talhas Bar;;;Rua do Rosário, 56 - Centro, Fortaleza - CE, 60055-090;;;bar
Restaurante e pizzaria Havana;;;R. dos Pacajús, 70 - Praia de Iracema, Fortaleza - CE, 60110-150;;;bar
Gil Bar;5.0;5 comentários;Av. João Pessoa, 3777 - Damas, Fortaleza - CE, 60425-813;Bar;;bar
Kabareh Karaokê Bar Em Fortaleza;;;Centro Cultural Dragão do Mar - R. Dragão do Mar, 06 - Praia de Iracema, Fortaleza - CE, 60060-390;;;bar
Bar e Restaurante Euguimas;;;R. da Assunção, 119 - Centro, Fortaleza - CE, 60050-011;;;bar
Ceará Sporting Bar;;;Av. Dom Luís, 1156 - Aldeota, Fortaleza - CE, 60160-196;;;bar
Brom's Beach Club;;;R. dos Tabajaras, 386 - Praia de Iracema, Fortaleza - CE, 60060-500;;;bar
Ipueira Drinks;4.8;13 comentários;Centro, Fortaleza - CE, 60055-450;Bar;;bar
New Florida Bar e Restaurante;;;Rua do Rosário, 210 - Centro, Fortaleza - CE, 60135-050;;;bar
