NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID;dataset_type;LAT;LON
Bar Da Fran;5.0;Um comentário;Av. Visconde do Rio Branco, 1321 - Centro, Fortaleza - CE, 60055-170;Bar;;bar;bar;-3.7340609;-38.5244881
Vila Bar;4.3;11 comentários;R. Delmiro Gouvêia, 400 - Varjota, Fortaleza - CE, 60175-090;Bar;;bar;bar;-3.7327016;-38.488236
Seu Gentil bar e restô;4.7;109 comentários;R. João Gentil, 291 - Benfica, Fortaleza - CE, 60020-100;Bar;1-3 horas;bar;bar;-3.7447269;-38.5387818
Boteco da Vila;4.4;317 comentários;R. Pereira Filgueiras, 1111 - Aldeota, Fortaleza - CE, 60160-150;Bar e Grill;;bar;bar;-3.7281667;-38.5130245
Barraca da Boa;4.2;7.972 comentários;Av. Beira Mar, 2571 - Meireles, Fortaleza - CE, 60165-121;$$;;bar;bar;-3.7251279;-38.4980886
Bar do Aracati;4.0;4 comentários;Rua Dr. Atualpa Barbosa Lima, 125 - Praia de Iracema, Fortaleza - CE, 60060-370;Bar;;bar;bar;-3.7231331;-38.5138023
Bar do Zé Bezerra;4.4;369 comentários;Rua Dom Manuel de Medeiros, 71 - Parque Araxá, Fortaleza - CE, 60450-605;$;;bar;bar;-3.735283;-38.5449306
Rancho do Poço;;;R. Oscar Benevides, 90 - Mondubim, Fortaleza - CE, 60762-270;$$;;bar;bar;-3.8102689;-38.5732402
The Bar | Pub;4.5;3.103 comentários;Av. Lineu Machado, 1514 - João XXIII, Fortaleza - CE, 60525-566;$$;;bar;bar;-3.7727613;-38.5805164
Moleskine Gastrobar;;;Rua Professor Dias da Rocha, 578 - Meireles, Fortaleza - CE, 60170-310;$$$;;bar;bar;-3.7345721;-38.4915319
Abaeté Boteco;4.6;743 comentários;R. Barão de Aracati, 2899 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60115-082;$$;;bar;bar;-3.7467458;-38.5163273
Torcida Fiel CE;4.7;92 comentários;R. Castro Alves, 513 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60130-210;Bar;;bar;bar;-3.7496465;-38.516256
Villa Roma Pizza Bar;4.3;613 comentários;Rua Professor Dias da Rocha, 430 - Meireles, Fortaleza - CE, 60160-140;Pizzaria;1-3 horas;bar;bar;-3.7328669;-38.4909968
Vibe 085;4.6;172 comentários;Rua Manuel Queirós, 511 - Cocó, Fortaleza - CE, 60192-220;$$;2-4,5 horas;bar;bar;-3.7490524;-38.4672143
CASA VIP;;;R. Melvin Jones, 65 - Centro, Fortaleza - CE, 60055-450;;;bar;bar;-3.7288785;-38.5249448
Bar Do Dé;4.3;45 comentários;Rua Fonseca Lobo, 100 - Aldeota, Fortaleza - CE, 60175-020;Bar;;bar;bar;-3.7445176;-38.4913507
Bar e Lanchonete O Sobral;4.4;91 comentários;Rua 24 de Maio, 940 - Centro, Fortaleza - CE, 60020-001;$;;bar;bar;-3.7330852;-38.5340039
Apelo Piadineria;;;R. Norvinda Píres, 55 - Aldeota, Fortaleza - CE, 60150-280;$$$;45 min a 3 h;bar;bar;-3.7370735;-38.501049
Brom's Bar Fun 4 You;3.8;9 comentários;Rua dos Potiguaras, 110 - Praia de Iracema, Fortaleza - CE, 60060-500;Bar;;bar;bar;-3.7199279;-38.5162258
Bar Café;4.6;125 comentários;Av. Rogaciano Leite, 247 - Cocó, Fortaleza - CE, 60810-001;$;;bar;bar;-3.7661123;-38.4961593
Soul Fit Juice Bar;4.5;139 comentários;R. Ana Bilhar, 987 - 3 - Meireles, Fortaleza - CE, 60160-110;Bar;;bar;bar;-3.7310023;-38.4905449
Bar do Serginho;4.3;49 comentários;Av. Central, 183 - Cidade 2000, Fortaleza - CE, 60190-611;Bar;;bar;bar;-3.7499985;-38.4717238
Deixe Comigo Bar;4.6;140 comentários;R. Castro Alves, 520 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60130-210;Bar;;bar;bar;-3.7498802;-38.5160922
Zipi Bar;4.3;347 comentários;Av. Almirante Barroso, 944 - Praia de Iracema, Fortaleza - CE, 60060-440;$$;;bar;bar;-3.7202666;-38.5143859
Barzinho Do Flavio;4.5;90 comentários;Tv. Ianês, 31 - Bonsucesso, Fortaleza - CE, 60721-060;$;20 min a 1,5 h;bar;bar;-3.7757484;-38.5841743
taberna drinks;5.0;7 comentários;Rua Araripe Macêdo, 819 - João XXIII, Fortaleza - CE, 60525-562;Bar;;bar;bar;-3.7705549;-38.5814493
Cine House;3.6;73 comentários;R. Meton de Alencar, 363 - Centro, Fortaleza - CE, 60035-160;$;30 min a 1,5 h;bar;bar;-3.7349045;-38.5274333
Órbita Blue;4.5;7.272 comentários;Av. Clóvis Arrais Maia, 3879 - Vicente Pinzon, Fortaleza - CE, 60182-026;$$;;bar;bar;-3.726517;-38.4601726
Espetinho Roots BAR;4.2;20 comentários;R. Castro Alves, 518 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60130-210;Bar;;bar;bar;-3.7499307;-38.5161486
After Bar;4.9;20 comentários;R. Castro Alves, 518 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60130-210;Restaurante;;bar;bar;-3.7499307;-38.5161486
It's True! Food Bar;4.8;151 comentários;R. Joaquim Siqueira, 42 - Aldeota, Fortaleza - CE, 60170-080;$$;;bar;bar;-3.7364901;-38.4958802
Bar Edmar Drinks;4.0;43 comentários;Rua Engenheiro João Nogueira - Carlito Pamplona, Fortaleza - CE, 60311-820;$$;;bar;bar;-3.7132477;-38.5570763
Casa523Bar;5.0;Um comentário;R. Castro Alves, 523 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60130-210;Bar com música ao vivo;;bar;bar;-3.749606;-38.5162064
bar;4.3;11 comentários;R. Porto Alegre, 1510 - Henrique Jorge, Fortaleza - CE, 60510-205;Bar;25 min a 1,5 h;bar;bar;-3.7595088;-38.5916926
Tioria bar;5.0;3 comentários;R. Gonçalves Lêdo, 1065 - Centro, Fortaleza - CE, 60110-261;Bar;;bar;bar;-3.7333317;-38.5164743
NOTURNA MUSIC BAR;4.5;121 comentários;Av. Almirante Barroso, 877 - Praia de Iracema, Fortaleza - CE, 60060-440;Bares;;bar;bar;-3.7200054;-38.5153098
Ritmo Urbano;4.4;883 comentários;R. dos Tabajaras, 374 - Praia de Iracema, Fortaleza - CE, 60060-510;$$;;bar;bar;-3.7194274;-38.5164816
Blue Door Pub;4.2;761 comentários;R. Joaquim Nabuco, 1333 - Aldeota, Fortaleza - CE, 60125-055;$$;;bar;bar;-3.7370268;-38.5017195
Bar Esconderijo;4.5;129 comentários;Av. João Pessoa, 4558 - Damas, Fortaleza - CE, 60425-812;$;4,5 horas;bar;bar;-3.752598;-38.5498942
Amsterdam C. Bar;4.2;83 comentários;R. José Avelino, 349 - Praia de Iracema, Fortaleza - CE, 60060-360;Casa noturna;2,5-5 horas;bar;bar;-3.7225942;-38.5163917
Hoje Tem - Bar e Petiscaria;4.8;10 comentários;R. Carvalho Júnior, 510a - São João do Tauape, Fortaleza - CE, 60130-460;Bar;;bar;bar;-3.7586828;-38.5122918
David's Drinks & Petiscos;5.0;Um comentário;R. Barão de Aratanha, 200 - Centro, Fortaleza - CE, 60050-070;Bar;;bar;bar;-3.7346648;-38.5271822
Bar Dos Amigos;4.6;7 comentários;R. João Cordeiro, 2626 - Joaquim Távora (Fortaleza), Fortaleza - CE, 62150-000;Bar;;bar;bar;-3.7433333;-38.5191932
Bar do Ferro Velho;4.0;82 comentários;R. Confúcio Pamplona, 352 - Benfica, Fortaleza - CE, 60015-390;$;;bar;bar;-3.7402045;-38.5371991
Hells Bar;4.0;4 comentários;Av. da Universidade, 2420 - Benfica, Fortaleza - CE, 60020-180;Bar;;bar;bar;-3.7381317;-38.5370225
Bar Gato Preto.;4.4;184 comentários;R. Instituto do Ceará, 7 - Benfica, Fortaleza - CE, 60015-300;$;;bar;bar;-3.7383097;-38.5367269
Bar do Pedrinho;4.5;47 comentários;R. Joaquim Magalhães, 18 - Benfica, Fortaleza - CE, 60040-160;$;;bar;bar;-3.7374031;-38.5353756
Jegue's Bar;4.5;4 comentários;Rua General Bezerril, 373 - Centro, Fortaleza - CE, 60055-100;Bar;;bar;bar;-3.7273446;-38.5266226
Gelson Bar;;;Av. Aguanambi, 1277 - Fátima, Fortaleza - CE, 60055-401;;;bar;bar;-3.7484872;-38.5239939
Tymtym Bar;5.0;Um comentário;Centro, Fortaleza - CE, 60055-080;Bar;;bar;bar;-3.7281287;-38.527412
Barraca do Michell (Beira Mar);4.5;2 comentários;Av. Beira Mar, 3561 - Meireles, Fortaleza - CE, 60165-121;Bares;;bar;bar;-3.7233377;-38.4876583
4 E 15;4.6;114 comentários;R. Confúcio Pamplona, 102 - Benfica, Fortaleza - CE, 60015-390;$;;bar;bar;-3.7394954;-38.5362844
Summer Beach Chopp Bar;5.0;2 comentários;R. Tremembés, 03 - Praia de Iracema, Fortaleza - CE, 60060-250;Bar;;bar;bar;-3.7198466;-38.5160132
Trailer Bar;4.6;29 comentários;Parque Manibura, Fortaleza - CE, 60822-040;$$;;bar;bar;-3.7916672;-38.4861101
Moto Libre;4.4;713 comentários;Av. Monsenhor Tabosa, 299 - Praia de Iracema, Fortaleza - CE, 60165-011;$$;;bar;bar;-3.723578;-38.5166523
Cactos Bar Fortaleza;5.0;Um comentário;Av. Beira Mar, 982 - Praia de Iracema, Fortaleza - CE, 60165-120;Bar;;bar;bar;-3.7200863;-38.5122823
Balangandã Bar;4.8;116 comentários;Rua Dona Leopoldina, 1380 - Centro, Fortaleza - CE, 60110-000;Bar;;bar;bar;-3.7300752;-38.5191875
Oporto Bar;2.5;2 comentários;Rua dos Potiguaras, 192 - Praia de Iracema, Fortaleza - CE, 60060-500;Restaurante;;bar;bar;-3.7198;-38.5166189
Avenida Bar;;;Av. Duque de Caxias, 455 - Centro, Fortaleza - CE, 60035-111;;;bar;bar;-3.7324766;-38.5285667
Bar Gaiola RockBar;4.4;53 comentários;Benfica, Fortaleza - CE, 60020-060;$;;bar;bar;-3.741486;-38.538855
Cazo Bar;3.0;Um comentário;R. Barão de Aratanha, 210 - Centro, Fortaleza - CE, 60050-070;Bar;;bar;bar;-3.7352199;-38.52715
bar;;;Rua Dona Leopoldina - Centro, Fortaleza - CE, 60110-000;;;bar;bar;-3.7300752;-38.5191875
Austin Pub;4.2;387 comentários;Av. Senador Virgílio Távora, 1727 - Meireles, Fortaleza - CE, 60170-250;$$$;2-5 horas;bar;bar;-3.7316369;-38.4915283
REMEMBER;3.6;13 comentários;R. dos Tabajaras, 368 - Praia de Iracema, Fortaleza - CE, 60060-510;Casa noturna;;bar;bar;-3.7194246;-38.5165551
Bar do Papion;;;R. Jacinto Matos, 850 - Jacarecanga, Fortaleza - CE, 60310-210;;;bar;bar;-3.7163184;-38.5464751
Complexo Crocobeach;4.6;32.429 comentários;Av. Clóvis Arrais Maia, 3125 - Praia Do Futuro, Fortaleza - CE, 60182-324;$$;;bar;bar;-3.7340348;-38.4558769
Bar e Restaurante Dois Irmãos;4.5;62 comentários;R. Pero Coelho, 136 - Centro, Fortaleza - CE, 60055-170;Restaurante;30 min;bar;bar;-3.7328102;-38.5237312
Val Drink's;;;R. Dragão do Mar, 100 - Centro, Fortaleza - CE, 60060-195;;;bar;bar;-3.7219725;-38.5200772
Carneiro Prime Sul;4.3;539 comentários;Av. Edilson Brasil Soares, 212 - Parque Manibura, Fortaleza - CE, 60821-775;$$;;bar;bar;-3.7898801;-38.4832753
Chez Marc Et Silvania Bar;3.5;2 comentários;R. Dragão do Mar, 322 - Centro, Fortaleza - CE, 60060-390;Restaurante;;bar;bar;-3.7218332;-38.5186137
Na Praia Sports Bar;4.8;5 comentários;R. da Assunção, 1255 - José Bonifacio, Fortaleza - CE, 60050-011;Churrascaria;;bar;bar;-3.7410209;-38.5305497
Dybowski Bar;4.8;52 comentários;Rua Cardoso de Barros, 58 - Vila Peri, Fortaleza - CE, 60730-150;$;;bar;bar;-3.7892287;-38.5818365
Espetinho Do Gordinho;4.5;44 comentários;Av. Pontes Vieira, 247 - São João do Tauape, Fortaleza - CE, 60130-240;Bar;;bar;bar;-3.7529909;-38.5154756
Quiosque Sao Francisco 27;;;Av. Beira Mar - Praia de Iracema, Fortaleza - CE, 60165-121;;;bar;bar;-3.7200863;-38.5122823
Bar do Pedro;4.6;17 comentários;R. Mônaco, 300 - Parangaba, Fortaleza - CE, 60710-590;Bar;;bar;bar;-3.7850427;-38.5691968
Bar Do Fortaleza;;;R. Vitória da Conquista, 1664 - Manuel Dias Branco, Fortaleza - CE, 60191-670;;;bar;bar;-3.7591267;-38.4697264
Best Bar Fortaleza;4.6;16 comentários;Av. Contôrno Sul, 251-255 - Jangurussu, Fortaleza - CE, 60875-205;Bar;;bar;bar;-3.8355414;-38.5160347
Boteco do Carro Bar;4.0;3 comentários;Av. Lineu Machado, 1212 - Jóquei Clube, Fortaleza - CE, 60520-102;Bar;;bar;bar;-3.7662746;-38.5771671
Bar e Restaurante Elizângela;5.0;2 comentários;R. Meton de Alencar, 444 - Centro, Fortaleza - CE, 60035-160;Bar;;bar;bar;-3.7343727;-38.528098
Sérvia Bar;;;R. João Cordeiro, 2022-2100 - Aldeota, Fortaleza - CE, 60110-301;;;bar;bar;-3.7334661;-38.5155837
Koya Sushi Bar;4.3;563 comentários;Av. Antônio Sales, 2435 - Dionísio Torres, Fortaleza - CE, 60135-102;$$$;30 min;bar;bar;-3.7454323;-38.5020833
The Lights;4.4;1.055 comentários;Av. da Universidade, 2322 - Benfica, Fortaleza - CE, 60020;$;1,5-3,5 horas;bar;bar;-3.7376007;-38.5363242
Eurides Bar;;;R. Manuel Dias Branco - Cais do Porto, Fortaleza - CE, 60180-635;;;bar;bar;-3.720603;-38.4757477
Bar Do Doca;5.0;4 comentários;R. Floro Bartolomeu, 1027 - São João do Tauape, Fortaleza - CE, 60130-530;Bar;;bar;bar;-3.7595028;-38.5049371
Albergaria Hostel;4.3;787 resenhas no Google;R. Antônio Augusto, 111 - Meireles, Fortaleza - CE, 60110-370;hotel de 2 estrelas;;bar;bar;-3.7222495;-38.5106793
Renata Bar;;;R. Pedro Pereira, 945 - Centro, Fortaleza - CE, 60035-000;;;bar;bar;-3.7292272;-38.529923
Bar do Assis Júnior;5.0;3 comentários;R. Major Facundo, 1213 - Centro, Fortaleza - CE, 60025-101;Bar;;bar;bar;-3.7335987;-38.5296466
bar;4.0;6 comentários;Av. Zezé Diogo, 62 - Cais do Porto, Fortaleza - CE, 60180-000;Bar;;bar;bar;-3.7085735;-38.4711399
Bar São Francisco;4.0;2 comentários;Rua 24 de Maio, 1129 - Centro, Fortaleza - CE, 60020-001;Bar;;bar;bar;-3.7315805;-38.5332701
Frappero Drinks;5.0;3 comentários;R. Ildefonso Albano, 195 - Meireles, Fortaleza - CE, 60115-000;Bar;;bar;bar;-3.7227803;-38.5096838
Bar;4.1;7 comentários;R. Carlos Severo, 90 - Farias Brito, Fortaleza - CE, 60011-100;Bar;;bar;bar;-3.7318121;-38.5420127
Bar E Restaurante;2.5;2 comentários;Rua Solon Pinheiro, 453 - Centro, Fortaleza - CE, 60050-040;Bar;;bar;bar;-3.7344084;-38.5274075
Talhas Bar;;;Rua do Rosário, 56 - Centro, Fortaleza - CE, 60055-090;;;bar;bar;-3.7280651;-38.5265216
Restaurante e pizzaria Havana;;;R. dos Pacajús, 70 - Praia de Iracema, Fortaleza - CE, 60110-150;;;bar;bar;-3.7194913;-38.5139324
Gil Bar;5.0;5 comentários;Av. João Pessoa, 3777 - Damas, Fortaleza - CE, 60425-813;Bar;;bar;bar;-3.747543;-38.544907
Bar e Restaurante Euguimas;;;R. da Assunção, 119 - Centro, Fortaleza - CE, 60050-011;;;bar;bar;-3.7313088;-38.5272305
Ceará Sporting Bar;;;Av. Dom Luís, 1156 - Aldeota, Fortaleza - CE, 60160-196;;;bar;bar;-3.7358204;-38.4909982
Brom's Beach Club;;;R. dos Tabajaras, 386 - Praia de Iracema, Fortaleza - CE, 60060-500;;;bar;bar;-3.7193078;-38.5164863
Ipueira Drinks;4.8;13 comentários;Centro, Fortaleza - CE, 60055-450;Bar;;bar;bar;-3.7281287;-38.527412
New Florida Bar e Restaurante;;;Rua do Rosário, 210 - Centro, Fortaleza - CE, 60135-050;;;bar;bar;-3.7273875;-38.5264094
Fortaleza;;;R. João Xavier, 652 - Cajazeiras, Fortaleza - CE, 60864-520;;;bar;bar;-3.8115905;-38.5059708
Fortaleza Ceará;;;Av. Bernardo Manuel, 7200 - Serrinha, Fortaleza - CE, 60741-280;;;bar;bar;-3.7813132;-38.5462998
fortaleza ceará;;;R. Rio Araguaia, 722 - Jardim Iracema, Fortaleza - CE, 60340-000;;;bar;bar;-3.7223643;-38.5819803
Imperial Lanches;4.0;2 comentários;R. Floriano Peixoto, 1040 - Centro, Fortaleza - CE, 60025-130;Bar;;bar;bar;-3.7315455;-38.5286249
João da Bodega;;;R. do Pocinho, 135 - Centro, Fortaleza - CE, 60055-120;;;bar;bar;-3.7279234;-38.5245906
Bar Fortaleza Ceará;4.1;20 comentários;Av. da Barreira Grande, 3916 - Vila Bancaria, São Paulo - SP, 03916-000;Bar;;bar;bar;-23.5861761;-46.5179703
Bar Fortaleza Ceara;;;Jardim Marista, Trindade - GO;;;bar;bar;-16.6406017;-49.4184805
